Order,Family,Genus,Apomixis_Yes_Uncertain,Apospory,Diplospory,Apospory_and_Diplospory,Adventitious_Embryony
Poales,Poaceae,Bothriochloa,Y,Y,,,Y
Poales,Poaceae,Bromus,Y,,,,Y
Poales,Poaceae,Cenchrus,Y,Y,,,Y
Poales,Poaceae,Eulaliopsis,Y,Y,,,Y
Poales,Poaceae,Oryza,Y,,,,Y
Poales,Poaceae,Pennisetum,Y,Y,Y,,Y
Poales,Poaceae,Poa,Y,Y,Y,Y,Y
Poales,Poaceae,Sorghum,Y,Y,Y,Y,Y
Ranunculales,Ranunculaceae,Thalictrum,Y,,,,Y
Rosales,Moraceae,Ficus,Y,,,,Y
Rosales,Moraceae,Morus,Y,,,,Y
Rosales,Moraceae,Streblus,Y,,,,Y
Rosales,Rhamnaceae,Zizyphus,Y,,,,Y
Rosales,Rosaceae,Alchemilla,Y,Y,,,Y
Rosales,Rosaceae,Chaenomeles,Y,Y,,,Y
Rosales,Rosaceae,Malus,Y,Y,,,Y
Rosales,Rosaceae,Potentilla,Y,Y,Y,Y,Y
Rosales,Rosaceae,Pyrus,Y,Y,,,Y
Rosales,Rosaceae,Sorbus,Y,Y,Y,Y,Y
Rosales,Urticaceae,Elatostema,Y,Y,Y,Y,Y
Sapindales,Anacardiaceae,Astronium,Y,,,,Y
Sapindales,Anacardiaceae,Mangifera,Y,,,,Y
Sapindales,Anacardiaceae,Myracrodruon,Y,,,,Y
Sapindales,Anacardiaceae,Tapirira,Y,,,,Y
Sapindales,Burseraceae,Commiphora,Y,Y,,,Y
Sapindales,Burseraceae,Garuga,Y,,,,Y
Sapindales,Meliaceae,Aphanamixis,Y,,,,Y
Sapindales,Meliaceae,Lansium,Y,,,,Y
Sapindales,Rutaceae,Aegle,Y,,,,Y
Sapindales,Rutaceae,Citrus,Y,,,,Y
Sapindales,Rutaceae,Feroniella,Y,,,,Y
Sapindales,Rutaceae,Fortunella,Y,,,,Y
Sapindales,Rutaceae,Murraya,Y,,,,Y
Sapindales,Rutaceae,Poncirus,Y,,,,Y
Sapindales,Rutaceae,Ptelea,Y,,,,Y
Sapindales,Rutaceae,Ruta,Y,,,,Y
Sapindales,Rutaceae,Triphasia,Y,,,,Y
Sapindales,Rutaceae,Zanthoxylum,Y,,,,Y
Sapindales,Sapindaceae,Magonia,Y,,,,Y
Solanales,Solanaceae,Lycopersicon,Y,,,,Y
Solanales,Solanaceae,Petunia,Y,,,,Y
Solanales,Solanaceae,Scopolia,Y,,,,Y
Solanales,Solanaceae,Solanum,Y,,,,Y
Solanales,Solanaceae,Withania,Y,,,,Y
Boraginales,Boraginaceae,Trichodesma,Y,,,,Y
Zygophyllales,Zygophyllaceae,Zygophyllum,Y,,,,Y
